ID,City,MatchDate,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,SuperOver,WinningTeam,WonBy,Margin,method,Player_of_Match,Umpire1,Umpire2
1312200,Ahmedabad,29/05/22,2022,Final,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,bat,N,Gujarat Titans,Wickets,7,NA,HH Pandya,CB Gaffaney,Nitin Menon
1312199,Ahmedabad,27/05/22,2022,Qualifier 2,Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,field,N,Rajasthan Royals,Wickets,7,NA,JC Buttler,CB Gaffaney,Nitin Menon
1312198,Kolkata,25/05/22,2022,Eliminator,Royal Challengers Bangalore,Lucknow Super Giants,"Eden Gardens, Kolkata",Lucknow Super Giants,field,N,Royal Challengers Bangalore,Runs,14,NA,RM Patidar,J Madanagopal,MA Gough
1312197,Kolkata,24/05/22,2022,Qualifier 1,Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata",Gujarat Titans,field,N,Gujarat Titans,Wickets,7,NA,DA Miller,BNJ Oxenford,VK Sharma
1304116,Mumbai,22/05/22,2022,70,Sunrisers Hyderabad,Punjab Kings,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,bat,N,Punjab Kings,Wickets,5,NA,Harpreet Brar,AK Chaudhary,NA Patwardhan
1304115,Mumbai,21/05/22,2022,69,Delhi Capitals,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,N,Mumbai Indians,Wickets,5,NA,JJ Bumrah,Nitin Menon,Tapan Sharma
1304114,Mumbai,20/05/22,2022,68,Chennai Super Kings,Rajasthan Royals,"Brabourne Stadium, Mumbai",Chennai Super Kings,bat,N,Rajasthan Royals,Wickets,5,NA,R Ashwin,CB Gaffaney,NA Patwardhan
1304113,Mumbai,19/05/22,2022,67,Gujarat Titans,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Gujarat Titans,bat,N,Royal Challengers Bangalore,Wickets,8,NA,V Kohli,KN Ananthapadmanabhan,GR Sadashiv Iyer
1304112,Navi Mumbai,18/05/22,2022,66,Lucknow Super Giants,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,bat,N,Lucknow Super Giants,Runs,2,NA,Q de Kock,R Pandit,YC Barde
1304111,Mumbai,17/05/22,2022,65,Sunrisers Hyderabad,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,N,Sunrisers Hyderabad,Runs,3,NA,RA Tripathi,CB Gaffaney,N Pandit
1304110,Navi Mumbai,16/05/22,2022,64,Delhi Capitals,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,field,N,Delhi Capitals,Runs,17,NA,SN Thakur,GR Sadashiv Iyer,Nitin Menon
1304109,Mumbai,15/05/22,2022,63,Rajasthan Royals,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Rajasthan Royals,bat,N,Rajasthan Royals,Runs,24,NA,TA Boult,PG Pathak,Tapan Sharma
1304108,Mumbai,15/05/22,2022,62,Chennai Super Kings,Gujarat Titans,"Wankhede Stadium, Mumbai",Chennai Super Kings,bat,N,Gujarat Titans,Wickets,7,NA,WP Saha,R Pandit,VK Sharma
1304107,Pune,14/05/22,2022,61,Kolkata Knight Riders,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,bat,N,Kolkata Knight Riders,Runs,54,NA,AD Russell,AK Chaudhary,KN Ananthapadmanabhan
1304106,Mumbai,13/05/22,2022,60,Punjab Kings,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,field,N,Punjab Kings,Runs,54,NA,JM Bairstow,J Madanagopal,N Pandit
1304105,Mumbai,12/05/22,2022,59,Chennai Super Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,N,Mumbai Indians,Wickets,5,NA,DR Sams,Chirra Ravikanthreddy,CB Gaffaney
1304104,Navi Mumbai,11/05/22,2022,58,Rajasthan Royals,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field,N,Delhi Capitals,Wickets,8,NA,MR Marsh,NA Patwardhan,Nitin Menon
1304103,Pune,10/05/22,2022,57,Gujarat Titans,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans,bat,N,Gujarat Titans,Runs,62,NA,Shubman Gill,KN Ananthapadmanabhan,MA Gough
1304102,Navi Mumbai,09/05/22,2022,56,Kolkata Knight Riders,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,field,N,Kolkata Knight Riders,Runs,52,NA,JJ Bumrah,CB Gaffaney,GR Sadashiv Iyer
1304101,Navi Mumbai,08/05/22,2022,55,Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,field,N,Chennai Super Kings,Runs,91,NA,DP Conway,Nitin Menon,R Pandit
1304100,Mumbai,08/05/22,2022,54,Royal Challengers Bangalore,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,bat,N,Royal Challengers Bangalore,Runs,67,NA,PWH de Silva,BNJ Oxenford,N Pandit
1304099,Pune,07/05/22,2022,53,Lucknow Super Giants,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,field,N,Lucknow Super Giants,Runs,75,NA,Avesh Khan,AK Chaudhary,MA Gough
1304098,Mumbai,07/05/22,2022,52,Punjab Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai",Punjab Kings,bat,N,Rajasthan Royals,Wickets,6,NA,YBK Jaiswal,Chirra Ravikanthreddy,YC Barde
1304097,Mumbai,06/05/22,2022,51,Mumbai Indians,Gujarat Titans,"Brabourne Stadium, Mumbai",Gujarat Titans,field,N,Mumbai Indians,Runs,5,NA,TH David,J Madanagopal,GR Sadashiv Iyer
1304096,Mumbai,05/05/22,2022,50,Delhi Capitals,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad,field,N,Delhi Capitals,Runs,21,NA,DA Warner,Navdeep Singh,NA Patwardhan
